ID,Category,Issue / Error Description,Root Cause,Solution & Implementation,Status
1,SEO / XML,Sitemap could not be read by Google Search Console,Unencoded spaces in map URLs (/maps/skirmish a), unsanitized slashes (/agents/kay/o), and duplicate route entries in sitemap.xml.,Implemented slugify helper to sanitize all slugs to clean hyphenated URLs (kay-o, skirmish-a, the-range). Added Map deduplication in sitemap.ts.,RESOLVED
2,Performance,Web app feels slow during page navigation,Every client page fetched 1.5MB+ JSON payloads directly from 3rd-party valorant-api.com on mount without caching.,Created src/lib/api-cache.ts (in-memory + sessionStorage cache) providing 0ms responses on repeated page views across the app.,RESOLVED
3,Performance,DOM Rendering Lag on Skins and Cosmetics pages,Pages attempted to render 1300+ card elements and images into the DOM simultaneously on initial load.,Added 48-item batch pagination with a smooth Load More button in CosmeticsGrid and Skins Index page.,RESOLVED
4,Lighthouse / LCP,High LCP Resource Load Delay (~4000ms),Hero background images lacked fetchPriority="high" and browser had no preconnect hints for 3rd-party image domains.,Added preconnect and dns-prefetch resource hints for valorant-api.com and media.valorant-api.com in layout.tsx. Added fetchPriority="high" to LCP hero images.,RESOLVED
5,Search Console,Page cannot be indexed: Not found (404),Google smartphone crawler attempted to fetch malformed legacy URLs (/agents/kay/o, /maps/skirmish a) from pre-fix sitemap.,Regenerated sitemap.xml with 1812 clean routes. Instructed user to request live inspection on clean URLs (kay-o, skirmish-a).,RESOLVED
6,Search Console,Page cannot be indexed: Excluded by noindex tag,Next.js metadata lacked explicit robots configuration and used relative canonical URLs (/agents/slug).,Added explicit robots: { index: true, follow: true } metadata in layout.tsx and dynamic generateMetadata functions. Formatted canonical URLs as absolute HTTPS links.,RESOLVED
7,Deployment,Vercel CLI upload error: missing_archive (Too many requests),Uploading thousands of loose static files individually exceeded Vercel API file upload limits.,Deploys now use npx vercel --prod --archive=tgz --yes to compress build artifacts into a single archive tarball before upload.,RESOLVED
8,DevTools / LCP,Unused preconnect warning on 3rd-party image domain,crossorigin="anonymous" attribute on preconnect prevented browser from sharing socket with standard non-CORS img requests.,Removed crossOrigin="anonymous" attribute from preconnect links in layout.tsx so preconnected TLS sockets are utilized for image downloads.,RESOLVED
9,CLS / Usability,Header Navigation Layout Shift (CLS 0.028),Header nav container lacked explicit height causing subtle shift when custom web font loaded.,Added h-[36px] min-h-[36px] to nav element in site-header.tsx to lock down geometric layout bounds.,RESOLVED
10,Search Console,Page cannot be indexed: Soft 404 on /agents/kay-o,AgentDetailPage used inline regex replace(/\s+/g, "-") which failed to handle slashes (/) in KAY/O, returning null and calling notFound().,Exported central slugify() helper in utils.ts, updated AgentDetailPage to use getAgent(slug) and AgentCard to use slugify().,RESOLVED
11,Search Console,Crawled - currently not indexed (Validation Failed) on skins weapons and leaks,Dynamic skin bundle and flex pages had robots: { index: false } and their paths were missing in sitemap.ts,Removed robots: { index: false } from public dynamic routes to inherit default indexing. Updated sitemap.ts to fetch and include dynamic skins bundles and flex routes.,RESOLVED
12,Search Console,Not found (404) on /agents/reyna-devour and /agents/summit-map,Googlebot crawled legacy malformed ability/map URLs originally indexed or linked externally.,Configured permanent 301 edge redirects in vercel.json and added prefix alias recovery in AgentDetailPage getAgent().,RESOLVED
13,Search Console,Crawled - currently not indexed on /skins/[uuid] (Sandswept Sheriff),Skin pages had thin client-only HTML without server-rendered text specs or FAQ schema.,Overhauled src/app/skins/[slug]/page.tsx with rich server-rendered HTML AnswerBox specs matrix chromas gallery and Product/FAQPage schema.,RESOLVED
